xflr5 v6.50

Plane name :        HALE Drone
Polar name :        T1-7.3 m/s-LLT
Freestream speed :   7.320 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -0.500     0.000   0.588384   0.003761   0.011418   0.015178   0.000000  -0.000000  -0.302683  -0.000000   0.000000    7.3200     0.3197
    0.000     0.000   0.638334   0.004462   0.011300   0.015762   0.000000  -0.000000  -0.315172  -0.000000   0.000000    7.3200     0.3061
    0.500     0.000   0.687838   0.005194   0.011125   0.016319   0.000000  -0.000000  -0.327529  -0.000000   0.000000    7.3200     0.2945
    1.000     0.000   0.735663   0.005954   0.010655   0.016609   0.000000  -0.000000  -0.339175  -0.000000   0.000000    7.3200     0.2845
    1.500     0.000   0.782129   0.006744   0.010151   0.016896   0.000000  -0.000000  -0.349669  -0.000000   0.000000    7.3200     0.2754
    2.000     0.000   0.832186   0.007626   0.010351   0.017976   0.000000  -0.000000  -0.362185  -0.000000   0.000000    7.3200     0.2675
    2.500     0.000   0.882434   0.008581   0.010653   0.019233   0.000000  -0.000000  -0.374915  -0.000000   0.000000    7.3200     0.2605
    3.000     0.000   0.932075   0.009580   0.011048   0.020628   0.000000  -0.000000  -0.387393  -0.000000   0.000000    7.3200     0.2543
    3.500     0.000   0.981578   0.010632   0.011384   0.022016   0.000000  -0.000000  -0.399816  -0.000000   0.000000    7.3200     0.2486
    4.000     0.000   1.030735   0.011732   0.011763   0.023494   0.000000  -0.000000  -0.412118  -0.000000   0.000000    7.3200     0.2435
    4.500     0.000   1.079985   0.012886   0.012192   0.025078   0.000000  -0.000000  -0.424556  -0.000000   0.000000    7.3200     0.2389
    5.000     0.000   1.128690   0.014082   0.012584   0.026666   0.000000  -0.000000  -0.436704  -0.000000   0.000000    7.3200     0.2346
    5.500     0.000   1.176952   0.015313   0.013016   0.028329   0.000000  -0.000000  -0.448718  -0.000000   0.000000    7.3200     0.2306
    6.000     0.000   1.225239   0.016610   0.013512   0.030122   0.000000  -0.000000  -0.460802  -0.000000   0.000000    7.3200     0.2269
    6.500     0.000   1.272523   0.017930   0.013975   0.031905   0.000000  -0.000000  -0.472406  -0.000000   0.000000    7.3200     0.2235
    7.000     0.000   1.319182   0.019283   0.014465   0.033748   0.000000  -0.000000  -0.483744  -0.000000   0.000000    7.3200     0.2202
    7.500     0.000   1.365957   0.020694   0.015045   0.035739   0.000000  -0.000000  -0.495220  -0.000000   0.000000    7.3200     0.2171
    8.000     0.000   1.410166   0.022077   0.015545   0.037621   0.000000  -0.000000  -0.505459  -0.000000   0.000000    7.3200     0.2141
    8.500     0.000   1.450763   0.023410   0.015978   0.039388   0.000000  -0.000000  -0.513977  -0.000000   0.000000    7.3200     0.2110
    9.000     0.000   1.488752   0.024696   0.016437   0.041133   0.000000  -0.000000  -0.521325  -0.000000   0.000000    7.3200     0.2079
    9.500     0.000   1.524421   0.025942   0.016981   0.042923   0.000000  -0.000000  -0.527694  -0.000000   0.000000    7.3200     0.2049
   10.000     0.000   1.554786   0.027058   0.017577   0.044636   0.000000  -0.000000  -0.531508  -0.000000   0.000000    7.3200     0.2017
   10.500     0.000   1.581973   0.028116   0.018376   0.046492   0.000000  -0.000000  -0.534257  -0.000000   0.000000    7.3200     0.1985
   11.000     0.000   1.604659   0.029029   0.019513   0.048542   0.000000  -0.000000  -0.535575  -0.000000   0.000000    7.3200     0.1955
   11.500     0.000   1.620630   0.029788   0.021222   0.051011   0.000000  -0.000000  -0.534838  -0.000000   0.000000    7.3200     0.1925
   12.000     0.000   1.625671   0.030153   0.023884   0.054037   0.000000  -0.000000  -0.530241  -0.000000   0.000000    7.3200     0.1895
   12.500     0.000   1.619965   0.030115   0.027757   0.057872   0.000000  -0.000000  -0.522613  -0.000000  -0.000000    7.3200     0.1865
   13.000     0.000   1.608533   0.029839   0.032512   0.062351   0.000000  -0.000000  -0.514082  -0.000000  -0.000000    7.3200     0.1839
   13.500     0.000   1.596208   0.029561   0.038054   0.067615   0.000000  -0.000000  -0.506478  -0.000000  -0.000000    7.3200     0.1817
   14.000     0.000   1.584289   0.029337   0.044084   0.073421   0.000000  -0.000000  -0.499685  -0.000000  -0.000000    7.3200     0.1798
   14.500     0.000   1.573032   0.029136   0.050490   0.079626   0.000000  -0.000000  -0.493645  -0.000000  -0.000000    7.3200     0.1782
