xflr5 v6.50

Plane name :        Mark I Drone
Polar name :        T1-7.3 m/s-LLT
Freestream speed :   7.320 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.351072   0.001425   0.009352   0.010777   0.000000  -0.000000   0.092373   0.000000  -0.000000    7.3200     0.1592
   -2.500     0.000  -0.286273   0.001016   0.008959   0.009975   0.000000  -0.000000   0.072744   0.000000  -0.000000    7.3200     0.1539
   -2.000     0.000  -0.223117   0.000642   0.008612   0.009254   0.000000  -0.000000   0.054504   0.000000  -0.000000    7.3200     0.1481
   -1.500     0.000  -0.163639   0.000355   0.008316   0.008671   0.000000   0.000000   0.038664   0.000000  -0.000000    7.3200     0.1433
   -1.000     0.000  -0.106482   0.000155   0.008078   0.008233   0.000000   0.000000   0.024454   0.000000  -0.000000    7.3200     0.1392
   -0.500     0.000  -0.052196   0.000040   0.007925   0.007965   0.000000   0.000000   0.011767   0.000000   0.000000    7.3200     0.1479
    0.000     0.000   0.000472  -0.000000   0.007875   0.007875   0.000000   0.000000  -0.000099   0.000000   0.000000    7.3200     0.2931
    0.500     0.000   0.053155   0.000033   0.007926   0.007958   0.000000  -0.000000  -0.011968   0.000000   0.000000    7.3200     0.1451
    1.000     0.000   0.107545   0.000140   0.008081   0.008221   0.000000   0.000000  -0.024686  -0.000000  -0.000000    7.3200     0.1392
    1.500     0.000   0.164817   0.000331   0.008321   0.008651   0.000000  -0.000000  -0.038943   0.000000   0.000000    7.3200     0.1433
    2.000     0.000   0.224553   0.000603   0.008618   0.009221   0.000000  -0.000000  -0.054876   0.000000  -0.000000    7.3200     0.1482
    2.500     0.000   0.287792   0.000965   0.008967   0.009932   0.000000   0.000000  -0.073186   0.000000  -0.000000    7.3200     0.1540
    3.000     0.000   0.351554   0.001404   0.009354   0.010758   0.000000   0.000000  -0.092535  -0.000000  -0.000000    7.3200     0.1592
    3.500     0.000   0.415607   0.001922   0.009768   0.011690   0.000000   0.000000  -0.112778  -0.000000  -0.000000    7.3200     0.1637
    4.000     0.000   0.477340   0.002508   0.010215   0.012723   0.000000   0.000000  -0.132286  -0.000000  -0.000000    7.3200     0.1668
    4.500     0.000   0.534172   0.003130   0.010704   0.013834   0.000000   0.000000  -0.149555  -0.000000  -0.000000    7.3200     0.1681
    5.000     0.000   0.585409   0.003753   0.011252   0.015006   0.000000   0.000000  -0.163970   0.000000  -0.000000    7.3200     0.1678
    5.500     0.000   0.632014   0.004376   0.011880   0.016256   0.000000   0.000000  -0.175910   0.000000  -0.000000    7.3200     0.1663
    6.000     0.000   0.673881   0.004984   0.012614   0.017599   0.000000  -0.000000  -0.185297   0.000000  -0.000000    7.3200     0.1639
    6.500     0.000   0.712490   0.005586   0.013426   0.019013   0.000000  -0.000000  -0.192887   0.000000  -0.000000    7.3200     0.1610
    7.000     0.000   0.750388   0.006206   0.014310   0.020516   0.000000  -0.000000  -0.200058  -0.000000  -0.000000    7.3200     0.1582
    7.500     0.000   0.787390   0.006843   0.015312   0.022155   0.000000  -0.000000  -0.206784  -0.000000  -0.000000    7.3200     0.1554
    8.000     0.000   0.824783   0.007517   0.016326   0.023844   0.000000  -0.000000  -0.213701  -0.000000  -0.000000    7.3200     0.1529
    8.500     0.000   0.861123   0.008203   0.017550   0.025753   0.000000  -0.000000  -0.220124  -0.000000  -0.000000    7.3200     0.1505
    9.000     0.000   0.896650   0.008909   0.018997   0.027906   0.000000   0.000000  -0.226244  -0.000000  -0.000000    7.3200     0.1481
    9.500     0.000   0.933370   0.009659   0.020558   0.030217   0.000000  -0.000000  -0.233107  -0.000000  -0.000000    7.3200     0.1462
   10.000     0.000   0.968981   0.010428   0.022141   0.032569   0.000000   0.000000  -0.239649  -0.000000  -0.000000    7.3200     0.1443
   10.500     0.000   1.002935   0.011185   0.024163   0.035349   0.000000   0.000000  -0.245860  -0.000000  -0.000000    7.3200     0.1426
   11.000     0.000   1.034173   0.011913   0.026386   0.038299   0.000000   0.000000  -0.251257  -0.000000  -0.000000    7.3200     0.1408
   11.500     0.000   1.062196   0.012600   0.028780   0.041379   0.000000   0.000000  -0.255790  -0.000000  -0.000000    7.3200     0.1390
   12.000     0.000   1.085350   0.013202   0.031255   0.044457   0.000000  -0.000000  -0.258976  -0.000000  -0.000000    7.3200     0.1371
   12.500     0.000   1.093677   0.013590   0.035377   0.048967   0.000000   0.000000  -0.259190   0.000000  -0.000000    7.3200     0.1354
   13.500     0.000   1.079020   0.013842   0.048913   0.062755   0.000000   0.000000  -0.254471   0.000000  -0.000000    7.3200     0.1328
   16.000     0.000   0.907724   0.011866   0.116721   0.128587   0.000000   0.000000  -0.241494  -0.000000   0.000000    7.3200     0.1479
   17.000     0.000   0.830210   0.012702   0.156518   0.169220   0.000000   0.000000  -0.238607  -0.000000   0.000000    7.3200     0.1612
   17.500     0.000   0.817715   0.011362   0.167911   0.179273   0.000000   0.000000  -0.240274  -0.000000  -0.000000    7.3200     0.1658
   18.000     0.000   0.789445   0.009752   0.185192   0.194944   0.000000   0.000000  -0.239390  -0.000000  -0.000000    7.3200     0.1726
   18.500     0.000   0.783125   0.009271   0.200171   0.209441   0.000000   0.000000  -0.243042  -0.000000  -0.000000    7.3200     0.1770
   19.000     0.000   0.761733   0.007896   0.218881   0.226776   0.000000   0.000000  -0.243342  -0.000000  -0.000000    7.3200     0.1841
   19.500     0.000   0.776962   0.008202   0.227961   0.236162   0.000000   0.000000  -0.252164  -0.000000  -0.000000    7.3200     0.1870
   20.000     0.000   0.789367   0.008479   0.236087   0.244566   0.000000   0.000000  -0.259872   0.000000  -0.000000    7.3200     0.1897


